鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
內湖區,建物,臺北市內湖區石潭路31~60號,0.0,其他,,,1050428,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001124,279.3,3,2,2,有,有,有,123170,441,坡道平面,25.44,0,,RPUOMLOJNHLFFCA18CC
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1050419,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,80.21000000000001,1,1,1,有,有,有,45000,561,,0.0,0,,RPPPMLOJNHLFFCA77CC
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,1050420,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981027,113.62,3,1,1,有,有,有,50000,440,,0.0,0,,RPSPMLOJNHLFFCA08CC
內湖區,建物,臺北市內湖區金龍路61~90號,0.0,住,,,1050420,土地0建物1車位0,地下層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0770502,129.49,0,0,0,無,無,有,30000,232,,0.0,0,,RPTPMLOJNHLFFCA18CC
中山區,建物,臺北市中山區中山北路二段115巷1~30號,0.0,商,,,1050422,土地0建物1車位0,七層,17,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0791019,120.33,3,1,2,有,有,有,47495,395,,0.0,0,,RPUPMLOJNHLFFCA28CC
中山區,建物,臺北市中山區新生北路二段31巷1~30號,0.0,住,,,1050420,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0710227,145.37,2,1,2,有,無,無,51084,351,,0.0,0,租金含10%個人所得代扣繳及1.91%二代健保補充費,RPRQMLOJNHLFFCA08CC
內湖區,房地(土地+建物),臺北市內湖區康寧路三段189巷1~30號,12.72,商,,,1050504,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0770126,70.67,0,0,0,無,無,無,34000,481,,0.0,0,,RPTQMLOJNHLFFCA28CC
中山區,建物,臺北市中山區中山北路二段93巷1~30號,0.0,商,,,1050426,土地0建物1車位0,八層,14,其他,商業用,鋼筋混凝土造,0920808,38.400000000000006,1,1,1,有,有,有,30700,799,,0.0,0,住商大樓,RPVQMLOJNHLFFCA48CC
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1050415,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,77.27,1,1,1,有,有,有,40000,518,,0.0,0,,RPXQMLOJNHLFFCA68CC
中山區,建物,臺北市中山區建國北路二段1~30號,0.0,住,,,1050415,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,75.9,1,1,1,有,有,有,40000,527,,0.0,0,,RPORMLOJNHLFFCA87CC
信義區,建物,臺北市信義區忠孝東路四段553巷46弄1~30號,0.0,住,,,1050430,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.51,3,2,2,有,無,有,125000,1163,,0.0,0,,RPWNMLOJNHLFFDA38CC
松山區,建物,臺北市松山區八德路四段631~660號,0.0,商,,,1050421,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021216,64.22,0,1,1,有,有,有,30000,467,,0.0,0,,RPTOMLOJNHLFFDA18CC
信義區,建物,臺北市信義區莊敬路391巷2弄1~30號,0.0,商,,,1050411,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0730306,157.27,3,2,2,有,無,無,42500,270,,0.0,0,,RPWOMLOJNHLFFDA48CC
信義區,建物,臺北市信義區忠孝東路五段524巷1弄1~30號,0.0,住,,,1050328,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,171.87,3,2,2,有,無,有,55000,320,,0.0,0,,RPXOMLOJNHLFFDA58CC
信義區,建物,臺北市信義區嘉興街301~330號,0.0,住,,,1050427,土地0建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840216,166.75,4,2,2,有,有,無,40000,240,,0.0,0,,RPOPMLOJNHLFFDA77CC
信義區,建物,臺北市信義區基隆路一段121~150號,0.0,住,,,1050421,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950802,36.59,1,1,1,有,有,有,25542,698,,0.0,0,租金含稅價,RPQPMLOJNHLFFDA97CC
信義區,建物,臺北市信義區莊敬路271~300號,0.0,商,,,1050503,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700907,119.08,3,2,2,有,無,無,30000,252,,0.0,0,,RPSPMLOJNHLFFDA18CC
信義區,房地(土地+建物),臺北市信義區忠孝東路五段236巷1~30號,5.0,住,,,1050405,土地5建物1車位0,一層,8,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,130.14,0,0,0,無,有,無,70000,538,,0.0,0,,RPTPMLOJNHLFFDA28CC
松山區,建物,臺北市松山區八德路四段451~480號,0.0,商,,,1050420,土地0建物1車位0,十一層,12,辦公商業大樓,商業用,鋼筋混凝土造,0831125,356.96,0,0,0,無,有,無,95000,266,,0.0,0,,RPUPMLOJNHLFFDA38CC
大安區,建物,臺北市大安區敦化南路二段63巷61~90號,0.0,住,,,1050427,土地0建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741218,290.75,3,2,2,有,有,有,67000,230,坡道平面,0.0,0,,RPVNMLOJNHLFFFA48CC
大安區,建物,臺北市大安區忠孝東路四段170巷6弄1~30號,0.0,商,,,1050502,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,147.39999999999998,3,2,2,有,有,有,42000,285,,0.0,0,,RPXNMLOJNHLFFFA68CC
大安區,建物,臺北市大安區復興南路一段91~120號,0.0,商,,,1050422,土地0建物1車位0,一層,16,店面(店鋪),商業用,鋼筋混凝土造,0701230,173.86,0,0,0,無,有,無,240000,1380,,0.0,0,,RPROMLOJNHLFFFA18CC
大安區,建物,臺北市大安區建國南路一段307巷1~30號,0.0,其他,,,1050430,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760226,105.51,3,0,3,有,有,有,50000,474,,0.0,0,續租。,RPSOMLOJNHLFFFA28CC
大同區,建物,臺北市大同區太原路61~90號,0.0,商,,,1050417,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971211,68.85,1,1,1,有,有,有,29000,421,,0.0,0,,RPVNMLOJNHLFFBA08CC
大同區,建物,臺北市大同區重慶北路三段181~210號,0.0,住,,,1050407,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0660127,94.75,0,0,0,有,無,無,37000,391,,0.0,0,,RPSOMLOJNHLFFBA87CC
大同區,建物,臺北市大同區長安西路271~300號,0.0,住,,,1050408,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620512,47.74,2,2,1,有,無,有,19000,398,,0.0,0,,RPTOMLOJNHLFFBA97CC
中正區,建物,臺北市中正區忠孝東路一段61~90號,0.0,商,,,1050426,土地0建物1車位0,十層,25,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0781230,162.79,3,2,2,有,有,有,45000,276,,0.0,0,,RPWOMLOJNHLFFBA28CC
大同區,建物,臺北市大同區五原路1~30號,0.0,商,,,1050414,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981216,78.64,2,1,1,有,無,有,42500,540,,0.0,0,,RPXOMLOJNHLFFBA38CC
士林區,建物,臺北市士林區天母東路31~60號,0.0,商,,,1050408,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0751017,192.98,3,2,3,有,有,有,75000,389,,0.0,0,,RPQNMLOJNHLFFEA87CC
士林區,建物,臺北市士林區天母東路61~90號,0.0,住,,,1050410,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780524,149.97,3,2,2,有,有,有,51000,340,,0.0,0,,RPTNMLOJNHLFFEA18CC
士林區,建物,臺北市士林區克強路1~30號,0.0,住,,,1050401,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710810,136.44,0,0,1,有,無,有,65000,476,,0.0,0,,RPUNMLOJNHLFFEA28CC
士林區,建物,臺北市士林區中山北路七段14巷5弄1~30號,0.0,商,,,1050411,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971118,177.65,3,2,2,有,有,有,90000,507,,0.0,0,,RPVNMLOJNHLFFEA38CC
文山區,建物,臺北市文山區景興路102巷1~30號,0.0,住,,,1050420,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0571130,101.95,4,2,2,有,無,有,28000,275,,0.0,0,,RPSNMLOJNHLFFAA67CC
文山區,房地(土地+建物),臺北市文山區羅斯福路六段421~450號,5.55,商,,,1050419,土地1建物1車位0,九層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,1000704,59.44,1,1,1,有,有,有,20000,336,,0.0,0,,RPTNMLOJNHLFFAA77CC
中正區,建物,臺北市中正區廈門街91~120號,46.17,商,,,1050425,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),,加強磚造,,46.17,0,1,1,有,無,無,30000,650,,0.0,0,承租一樓做為店面使用,RPSNMLPJNHLFFAA77CC
士林區,建物,臺北市士林區重慶北路四段151~180號,0.0,住,,,1050427,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0860113,84.99,0,1,1,有,有,無,35000,412,,0.0,0,1.租金不含管理費。2.租金含營業稅。3.免租裝潢期民國105年5月10日至民國105年6月9日止。4.錀匙出租方於民國105年5月9日交付承租方。5.租金含增建。,RPPNMLPJNHLFFEA97DC
北投區,建物,臺北市北投區東華街二段31~60號,0.0,住,,,1050418,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970722,187.16,2,1,2,有,有,有,80000,427,,0.0,0,,RPTOMLPJNHLFFEA38CC
士林區,建物,臺北市士林區芝玉路一段211~240號,0.0,住,,,1050408,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0971112,164.87,3,2,2,有,有,有,78000,473,,0.0,0,,RPQPMLPJNHLFFEA18CC
北投區,建物,臺北市士林區稻香路121~150號,0.0,住,,,1050411,土地0建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0630423,66.88,0,1,1,有,無,無,22704,339,,0.0,0,,RPSPMLPJNHLFFEA38CC
中正區,房地(土地+建物),臺北市中正區忠孝西路一段31~60號,6.52,商,,,1050501,土地5建物1車位0,十三層,15,辦公商業大樓,商業用,鋼筋混凝土造,0680702,72.49,0,0,0,無,有,無,25000,345,,0.0,0,,RPSNMLPJNHLFFBA87CC
萬華區,建物,臺北市萬華區萬大路71巷1~30號,0.0,住,,,1050427,土地0建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961102,122.59,3,2,2,有,有,有,29000,237,坡道平面,0.0,0,,RPWNMLPJNHLFFBA28CC
松山區,建物,臺北市松山區八德路四段451~480號,0.0,商,,,1050418,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0910619,82.05,2,1,1,有,有,有,31000,378,,0.0,0,,RPQNMLPJNHLFFDA87CC
信義區,建物,臺北市信義區吳興街118巷26弄1~30號,0.0,住,,,1050503,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0770705,44.8,0,2,1,有,無,有,50000,1116,,0.0,0,,RPVNMLPJNHLFFDA38CC
信義區,建物,臺北市信義區基隆路二段79巷30弄1~30號,0.0,住,,,1050413,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980420,137.0,3,2,2,有,有,有,50000,365,,0.0,0,,RPOOMLPJNHLFFDA77CC
南港區,建物,臺北市南港區園區街1~30號,0.0,住,,,1050430,土地0建物1車位2,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020521,218.29999999999998,4,2,2,有,有,有,66000,302,坡道平面,0.0,0,,RPPOMLPJNHLFFDA87CC
松山區,建物,臺北市松山區南京東路五段151~180號,0.0,其他,,,1050428,土地0建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991112,285.65999999999997,3,2,2,有,有,有,119077,417,,0.0,0,,RPTOMLPJNHLFFDA28CC
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,,,1050428,土地0建物1車位1,十一層,28,住宅大樓(11層含以上有電梯),商業用,鋼骨混凝土造,0820813,195.4,1,1,1,有,有,有,91000,466,坡道平面,0.0,0,,RPUOMLPJNHLFFDA38CC
南港區,建物,臺北市南港區成功路一段1~30號,0.0,商,,,1050503,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,,38.66,1,1,1,有,無,無,29000,750,,0.0,0,,RPXOMLPJNHLFFDA68CC
松山區,建物,臺北市松山區民權東路三段160巷1~30號,0.0,住,,,1050411,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720527,84.07,2,2,1,有,有,有,38000,452,,0.0,0,,RPOPMLPJNHLFFDA87CC
中山區,建物,臺北市中山區大直街94巷3弄1~30號,0.0,住,,,1050429,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770629,121.59,3,2,2,有,無,有,26000,214,,0.0,0,,RPPNMLPJNHLFFCA67CC
中山區,房地(土地+建物),臺北市中山區松江路100巷1~30號,28.75,住,,,1050504,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,86.98,0,0,0,無,無,無,42000,483,,0.0,0,,RPQNMLPJNHLFFCA77CC
內湖區,建物,臺北市內湖區環山路一段91~120號,0.0,住,,,1050416,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,12.33,4,4,4,有,無,有,8000,649,,0.0,0,,RPVPMLPJNHLFFCA48CC
內湖區,建物,臺北市內湖區康寧路三段54巷1~30號,0.0,住,,,1050418,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821227,111.69,3,2,2,有,有,無,22000,197,一樓平面,0.0,0,,RPXPMLPJNHLFFCA68CC
中山區,建物,臺北市中山區林森北路331~360號,0.0,商,,,1050420,土地0建物1車位0,十層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1021101,204.06,3,1,2,有,有,有,80000,392,,0.0,0,,RPOQMLPJNHLFFCA87CC
中山區,建物,臺北市中山區長安東路二段151~180號,0.0,商,,,1050413,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010409,52.49,1,2,1,有,有,有,39000,743,,0.0,0,含管理費。,RPRQMLPJNHLFFCA18CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1050413,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,89.73,2,2,1,有,有,有,52000,580,,0.0,0,含管理費。,RPSQMLPJNHLFFCA28CC
內湖區,建物,臺北市內湖區康寧路三段181~210號,0.0,商,,,1050430,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041030,68.3,1,2,1,有,有,有,31000,454,,0.0,0,,RPWQMLPJNHLFFCA68CC
中山區,建物,臺北市中山區中山北路二段151~180號,0.0,商,,,1050420,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,62.77,1,1,1,有,有,有,40000,637,,0.0,0,,RPRRMLPJNHLFFCA28CC
中山區,建物,臺北市中山區民生東路一段1~30號,0.0,商,,,1050420,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0951012,65.26,1,1,1,有,有,有,40000,613,,0.0,0,,RPSRMLPJNHLFFCA38CC
中山區,建物,臺北市中山區明水路672巷1~30號,0.0,商,,,1050503,土地0建物1車位0,一層,7,辦公商業大樓,商業用,鋼筋混凝土造,0941201,119.17,0,0,0,無,有,無,65000,545,,0.0,0,,RPQNMLQJNHLFFCA87CC
內湖區,建物,臺北市內湖區民權東路六段123巷34弄1~30號,0.0,商,,,1050504,土地0建物1車位1,九層,13,其他,商業用,鋼筋混凝土造,0970429,122.9,2,1,1,有,有,有,30000,244,坡道機械,9.15,0,建物型態為住商混和大樓，第一層:一般零售業，第二~九層:一般事務所，第十~十三層:集合住宅,RPRNMLQJNHLFFCA97CC
中山區,建物,臺北市中山區龍江路249巷1~30號,0.0,住,,,1050417,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650612,126.79,2,2,2,有,無,有,27000,213,,0.0,0,租 西側  約19坪,RPWNMLQJNHLFFCA48CC
中山區,建物,臺北市中山區龍江路1~30號,0.0,商,,,1050413,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,91.51,1,1,1,有,有,有,40000,437,,0.0,0,,RPPOMLQJNHLFFCA87CC
